sku,front_image,back_image,card_number,name,set_name,rarity,condition_display,condition_assumption,variant_status,variant_1st_edition,variant_shadowless,variant_unlimited,variant_promo,variant_confidence,variant_note,lp_reference_price,ebay_price,listing_bucket,needs_review,method,first_edition_auto_score,first_edition_auto_template,first_edition_auto_crop
B01-C011,cards/binder_1/card_11_front.jpg,cards/binder_1/card_11_back.jpg,54/102,Metapod,Base,Common,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,,NO,vision_full_card_api_validated,0.3320,B01-C032,output/first_edition_review_crops_clean/B01-C011__Base__54_102__Metapod.jpg
B01-C012,cards/binder_1/card_12_front.jpg,cards/binder_1/card_12_back.jpg,34/62,Golbat,Fossil,Uncommon,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.2241,B01-C032,output/first_edition_review_crops_clean/B01-C012__Fossil__34_62__Golbat.jpg
B01-C013,cards/binder_1/card_13_front.jpg,cards/binder_1/card_13_back.jpg,69/102,Weedle,Base,Common,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,,NO,vision_full_card_api_validated,0.3293,B01-C032,output/first_edition_review_crops_clean/B01-C013__Base__69_102__Weedle.jpg
B01-C014,cards/binder_1/card_14_front.jpg,cards/binder_1/card_14_back.jpg,48/62,Grimer,Fossil,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.3098,B01-C032,output/first_edition_review_crops_clean/B01-C014__Fossil__48_62__Grimer.jpg
B01-C015,cards/binder_1/card_15_front.jpg,cards/binder_1/card_15_back.jpg,58/64,Oddish,Jungle,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.2842,B01-C032,output/first_edition_review_crops_clean/B01-C015__Jungle__58_64__Oddish.jpg
B01-C016,cards/binder_1/card_16_front.jpg,cards/binder_1/card_16_back.jpg,41/64,Parasect,Jungle,Uncommon,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.3112,B01-C057,output/first_edition_review_crops_clean/B01-C016__Jungle__41_64__Parasect.jpg
B01-C017,cards/binder_1/card_17_front.jpg,cards/binder_1/card_17_back.jpg,48/64,Weepinbell,Jungle,Uncommon,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.2642,B01-C110,output/first_edition_review_crops_clean/B01-C017__Jungle__48_64__Weepinbell.jpg
B01-C018,cards/binder_1/card_18_front.jpg,cards/binder_1/card_18_back.jpg,31/62,Arbok,Fossil,Uncommon,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.3286,B01-C032,output/first_edition_review_crops_clean/B01-C018__Fossil__31_62__Arbok.jpg
B01-C019,cards/binder_1/card_19_front.jpg,cards/binder_1/card_19_back.jpg,45/102,Caterpie,Base,Common,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,,NO,vision_full_card_api_validated,0.3931,B01-C057,output/first_edition_review_crops_clean/B01-C019__Base__45_102__Caterpie.jpg
B01-C020,cards/binder_1/card_20_front.jpg,cards/binder_1/card_20_back.jpg,56/64,Meowth,Jungle,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,-0.1712,B01-C032,output/first_edition_review_crops_clean/B01-C020__Jungle__56_64__Meowth.jpg
B01-C021,cards/binder_1/card_21_front.jpg,cards/binder_1/card_21_back.jpg,50/64,Cubone,Jungle,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.2631,B01-C057,output/first_edition_review_crops_clean/B01-C021__Jungle__50_64__Cubone.jpg
B01-C022,cards/binder_1/card_22_front.jpg,cards/binder_1/card_22_back.jpg,32/62,Cloyster,Fossil,Uncommon,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.3689,B01-C057,output/first_edition_review_crops_clean/B01-C022__Fossil__32_62__Cloyster.jpg
B01-C023,cards/binder_1/card_23_front.jpg,cards/binder_1/card_23_back.jpg,52/64,Exeggcute,Jungle,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.3338,B01-C057,output/first_edition_review_crops_clean/B01-C023__Jungle__52_64__Exeggcute.jpg
B01-C024,cards/binder_1/card_24_front.jpg,cards/binder_1/card_24_back.jpg,37/64,Gloom,Jungle,Uncommon,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.3104,B01-C110,output/first_edition_review_crops_clean/B01-C024__Jungle__37_64__Gloom.jpg
B01-C025,cards/binder_1/card_25_front.jpg,cards/binder_1/card_25_back.jpg,53/62,Psyduck,Fossil,Common,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,,NO,vision_full_card_api_validated,0.6591,B01-C032,output/first_edition_review_crops_clean/B01-C025__Fossil__53_62__Psyduck.jpg
B01-C026,cards/binder_1/card_26_front.jpg,cards/binder_1/card_26_back.jpg,49/62,Horsea,Fossil,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.2405,B01-C057,output/first_edition_review_crops_clean/B01-C026__Fossil__49_62__Horsea.jpg
B01-C027,cards/binder_1/card_27_front.jpg,cards/binder_1/card_27_back.jpg,29/102,Haunter,Base,Uncommon,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,,NO,vision_full_card_api_validated,0.2475,B01-C057,output/first_edition_review_crops_clean/B01-C027__Base__29_102__Haunter.jpg
B01-C028,cards/binder_1/card_28_front.jpg,cards/binder_1/card_28_back.jpg,31/102,Jynx,Base,Uncommon,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,,NO,vision_full_card_api_validated,0.3224,B01-C032,output/first_edition_review_crops_clean/B01-C028__Base__31_102__Jynx.jpg
B01-C029,cards/binder_1/card_29_front.jpg,cards/binder_1/card_29_back.jpg,67/130,Bulbasaur,Base Set 2,Common,LP/MP,MP,unlimited_or_normal,NO,NOT_APPLICABLE,YES,NO,MEDIUM,No special 1st Edition/Shadowless variant expected.,,,,NO,vision_full_card_api_validated,,,
B01-C030,cards/binder_1/card_30_front.jpg,cards/binder_1/card_30_back.jpg,35/62,Golduck,Fossil,Uncommon,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.2504,B01-C057,output/first_edition_review_crops_clean/B01-C030__Fossil__35_62__Golduck.jpg
B01-C031,cards/binder_1/card_31_front.jpg,cards/binder_1/card_31_back.jpg,47/62,Geodude,Fossil,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.2576,B01-C032,output/first_edition_review_crops_clean/B01-C031__Fossil__47_62__Geodude.jpg
B01-C032,cards/binder_1/card_32_front.jpg,cards/binder_1/card_32_back.jpg,48/64,Weepinbell,Jungle,Uncommon,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,,NO,vision_full_card_api_validated,1.0000,B01-C032,output/first_edition_review_crops_clean/B01-C032__Jungle__48_64__Weepinbell.jpg
B01-C033,cards/binder_1/card_33_front.jpg,cards/binder_1/card_33_back.jpg,58/64,Oddish,Jungle,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.3250,B01-C032,output/first_edition_review_crops_clean/B01-C033__Jungle__58_64__Oddish.jpg
B01-C034,cards/binder_1/card_34_front.jpg,cards/binder_1/card_34_back.jpg,58/64,Oddish,Jungle,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.2554,B01-C110,output/first_edition_review_crops_clean/B01-C034__Jungle__58_64__Oddish.jpg
B01-C035,cards/binder_1/card_35_front.jpg,cards/binder_1/card_35_back.jpg,46/62,Ekans,Fossil,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.3872,B01-C032,output/first_edition_review_crops_clean/B01-C035__Fossil__46_62__Ekans.jpg
B01-C036,cards/binder_1/card_36_front.jpg,cards/binder_1/card_36_back.jpg,50/64,Cubone,Jungle,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.2817,B01-C032,output/first_edition_review_crops_clean/B01-C036__Jungle__50_64__Cubone.jpg
B01-C037,cards/binder_1/card_37_front.jpg,cards/binder_1/card_37_back.jpg,62/82,Meowth,Team Rocket,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,-0.0976,B01-C032,output/first_edition_review_crops_clean/B01-C037__Team Rocket__62_82__Meowth.jpg
B01-C038,cards/binder_1/card_38_front.jpg,cards/binder_1/card_38_back.jpg,68/130,Caterpie,Base Set 2,Common,LP/MP,MP,unlimited_or_normal,NO,NOT_APPLICABLE,YES,NO,MEDIUM,No special 1st Edition/Shadowless variant expected.,,,,NO,vision_full_card_api_validated,,,
B01-C039,cards/binder_1/card_39_front.jpg,cards/binder_1/card_39_back.jpg,57/62,Zubat,Fossil,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.2700,B01-C032,output/first_edition_review_crops_clean/B01-C039__Fossil__57_62__Zubat.jpg
B01-C040,cards/binder_1/card_40_front.jpg,cards/binder_1/card_40_back.jpg,35/102,Magikarp,Base,Uncommon,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,,NO,vision_full_card_api_validated,0.2220,B01-C032,output/first_edition_review_crops_clean/B01-C040__Base__35_102__Magikarp.jpg
B01-C041,cards/binder_1/card_41_front.jpg,cards/binder_1/card_41_back.jpg,61/82,Mankey,Team Rocket,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.3315,B01-C110,output/first_edition_review_crops_clean/B01-C041__Team Rocket__61_82__Mankey.jpg
B01-C042,cards/binder_1/card_42_front.jpg,cards/binder_1/card_42_back.jpg,41/62,Sandslash,Fossil,Uncommon,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.2206,B01-C032,output/first_edition_review_crops_clean/B01-C042__Fossil__41_62__Sandslash.jpg
B01-C043,cards/binder_1/card_43_front.jpg,cards/binder_1/card_43_back.jpg,51/62,Krabby,Fossil,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.2696,B01-C032,output/first_edition_review_crops_clean/B01-C043__Fossil__51_62__Krabby.jpg
B01-C044,cards/binder_1/card_44_front.jpg,cards/binder_1/card_44_back.jpg,79/130,Magnemite,Base Set 2,Common,LP/MP,MP,unlimited_or_normal,NO,NOT_APPLICABLE,YES,NO,MEDIUM,No special 1st Edition/Shadowless variant expected.,,,,NO,vision_full_card_api_validated,,,
B01-C045,cards/binder_1/card_45_front.jpg,cards/binder_1/card_45_back.jpg,59/64,Paras,Jungle,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,fixed_from_saved_vision_or_visual_confirmation,0.3010,B01-C032,output/first_edition_review_crops_clean/B01-C045__Jungle__59_64__Paras.jpg
B01-C046,cards/binder_1/card_46_front.jpg,cards/binder_1/card_46_back.jpg,59/64,Paras,Jungle,Common,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,,NO,vision_full_card_api_validated,0.8134,B01-C032,output/first_edition_review_crops_clean/B01-C046__Jungle__59_64__Paras.jpg
B01-C047,cards/binder_1/card_47_front.jpg,cards/binder_1/card_47_back.jpg,51/62,Krabby,Fossil,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.2628,B01-C032,output/first_edition_review_crops_clean/B01-C047__Fossil__51_62__Krabby.jpg
B01-C048,cards/binder_1/card_48_front.jpg,cards/binder_1/card_48_back.jpg,50/62,Kabuto,Fossil,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.3046,B01-C057,output/first_edition_review_crops_clean/B01-C048__Fossil__50_62__Kabuto.jpg
B01-C049,cards/binder_1/card_49_front.jpg,cards/binder_1/card_49_back.jpg,44/102,Bulbasaur,Base,Common,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,,NO,vision_full_card_api_validated,0.4558,B01-C032,output/first_edition_review_crops_clean/B01-C049__Base__44_102__Bulbasaur.jpg
B01-C050,cards/binder_1/card_50_front.jpg,cards/binder_1/card_50_back.jpg,49/102,Drowzee,Base,Common,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,,NO,vision_full_card_api_validated,0.4322,B01-C032,output/first_edition_review_crops_clean/B01-C050__Base__49_102__Drowzee.jpg
B01-C051,cards/binder_1/card_51_front.jpg,cards/binder_1/card_51_back.jpg,48/62,Grimer,Fossil,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.3693,B01-C032,output/first_edition_review_crops_clean/B01-C051__Fossil__48_62__Grimer.jpg
B01-C052,cards/binder_1/card_52_front.jpg,cards/binder_1/card_52_back.jpg,57/64,Nidoran ♀,Jungle,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,fixed_by_card_number_api,0.2748,B01-C032,output/first_edition_review_crops_clean/B01-C052__Jungle__57_64__Nidoran _.jpg
B01-C053,cards/binder_1/card_53_front.jpg,cards/binder_1/card_53_back.jpg,63/102,Squirtle,Base,Common,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,,NO,vision_full_card_api_validated,0.2644,B01-C057,output/first_edition_review_crops_clean/B01-C053__Base__63_102__Squirtle.jpg
B01-C054,cards/binder_1/card_54_front.jpg,cards/binder_1/card_54_back.jpg,39/102,Porygon,Base,Uncommon,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,,NO,vision_full_card_api_validated,-0.1013,B01-C110,output/first_edition_review_crops_clean/B01-C054__Base__39_102__Porygon.jpg
B01-C055,cards/binder_1/card_55_front.jpg,cards/binder_1/card_55_back.jpg,51/102,Koffing,Base,Common,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,,NO,vision_full_card_api_validated,0.3743,B01-C032,output/first_edition_review_crops_clean/B01-C055__Base__51_102__Koffing.jpg
B01-C056,cards/binder_1/card_56_front.jpg,cards/binder_1/card_56_back.jpg,49/62,Horsea,Fossil,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.2278,B01-C032,output/first_edition_review_crops_clean/B01-C056__Fossil__49_62__Horsea.jpg
B01-C057,cards/binder_1/card_57_front.jpg,cards/binder_1/card_57_back.jpg,39/62,Magmar,Fossil,Uncommon,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,,NO,vision_full_card_api_validated,1.0000,B01-C057,output/first_edition_review_crops_clean/B01-C057__Fossil__39_62__Magmar.jpg
B01-C058,cards/binder_1/card_58_front.jpg,cards/binder_1/card_58_back.jpg,59/82,Machop,Team Rocket,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.2472,B01-C032,output/first_edition_review_crops_clean/B01-C058__Team Rocket__59_82__Machop.jpg
B01-C059,cards/binder_1/card_59_front.jpg,cards/binder_1/card_59_back.jpg,45/102,Caterpie,Base,Common,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,,NO,vision_full_card_api_validated,0.3256,B01-C032,output/first_edition_review_crops_clean/B01-C059__Base__45_102__Caterpie.jpg
B01-C060,cards/binder_1/card_60_front.jpg,cards/binder_1/card_60_back.jpg,29/102,Haunter,Base,Uncommon,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,,NO,vision_full_card_api_validated,0.3359,B01-C032,output/first_edition_review_crops_clean/B01-C060__Base__29_102__Haunter.jpg
B01-C061,cards/binder_1/card_61_front.jpg,cards/binder_1/card_61_back.jpg,65/102,Staryu,Base,Common,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,,NO,vision_full_card_api_validated,0.2028,B01-C032,output/first_edition_review_crops_clean/B01-C061__Base__65_102__Staryu.jpg
B01-C062,cards/binder_1/card_62_front.jpg,cards/binder_1/card_62_back.jpg,64/82,Ponyta,Team Rocket,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.3248,B01-C032,output/first_edition_review_crops_clean/B01-C062__Team Rocket__64_82__Ponyta.jpg
B01-C063,cards/binder_1/card_63_front.jpg,cards/binder_1/card_63_back.jpg,48/102,Doduo,Base,Common,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,,NO,vision_full_card_api_validated,-0.0037,B01-C110,output/first_edition_review_crops_clean/B01-C063__Base__48_102__Doduo.jpg
B01-C064,cards/binder_1/card_64_front.jpg,cards/binder_1/card_64_back.jpg,48/62,Grimer,Fossil,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.2317,B01-C057,output/first_edition_review_crops_clean/B01-C064__Fossil__48_62__Grimer.jpg
B01-C065,cards/binder_1/card_65_front.jpg,cards/binder_1/card_65_back.jpg,48/64,Weepinbell,Jungle,Uncommon,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.3612,B01-C110,output/first_edition_review_crops_clean/B01-C065__Jungle__48_64__Weepinbell.jpg
B01-C066,cards/binder_1/card_66_front.jpg,cards/binder_1/card_66_back.jpg,51/64,Eevee,Jungle,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.0420,B01-C110,output/first_edition_review_crops_clean/B01-C066__Jungle__51_64__Eevee.jpg
B01-C067,cards/binder_1/card_67_front.jpg,cards/binder_1/card_67_back.jpg,59/64,Paras,Jungle,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.2449,B01-C032,output/first_edition_review_crops_clean/B01-C067__Jungle__59_64__Paras.jpg
B01-C068,cards/binder_1/card_68_front.jpg,cards/binder_1/card_68_back.jpg,38/64,Stantler,Neo Revelation,Uncommon,LP/MP,MP,unlimited_or_normal,NO,NOT_APPLICABLE,YES,NO,MEDIUM,No special 1st Edition/Shadowless variant expected.,,,,NO,fixed_from_saved_vision_or_visual_confirmation,,,
B01-C069,cards/binder_1/card_69_front.jpg,cards/binder_1/card_69_back.jpg,49/62,Horsea,Fossil,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,,NO,vision_full_card_api_validated,0.1756,B01-C032,output/first_edition_review_crops_clean/B01-C069__Fossil__49_62__Horsea.jpg
