sku,front_image,back_image,card_number,name,set_name,rarity,condition_display,condition_assumption,variant_status,variant_1st_edition,variant_shadowless,variant_unlimited,variant_promo,variant_confidence,variant_note,lp_reference_price,ebay_price,listing_bucket,needs_review,method,first_edition_auto_score,first_edition_auto_template,first_edition_auto_crop,pricing_variant,pricing_search_query,ebay_sold_low,ebay_sold_mid,ebay_sold_high,chosen_price,pricing_notes,listing_title,listing_description,comp_titles,comp_prices
B02-C040,cards/binder_2/card_40_front.jpg,cards/binder_2/card_40_back.jpg,58/64,Oddish,Jungle,Common,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,single_or_1st_ed_group,NO,vision_full_card_api_validated,0.8323,B01-C032,output/first_edition_review_crops_clean/B02-C040__Jungle__58_64__Oddish.jpg,1st Edition,Pokemon Oddish 58/64 Jungle 1st Edition MP,0.73,1.27,1.75,1.49,10 cleaned raw sold comps; removed comps under $0.50.,Pokemon Oddish 58/64 Jungle 1st Edition LP/MP Vintage WOTC,"Oddish 58/64 from Jungle.
Variant: 1st Edition.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.","Pokemon TCG  - Jungle 1st ed. (1999) Pick Your Card, Complete Your Set NM-HP || Pokémon TCG Oddish 58/64 Jungle 1st Edition Regular Common Dutch 50 HP || 1999 - Pokemon TCG - Jungle Set - Pick Your WOTC Card (s) - 1st Ed & Unlimited || 💥 ODDISH # 58/64 Jungle 1st Edition Stamp Non Holo Foil Pokemon 1999 Vintage || Pokemon Cards Jungle Set make your selection 90's Original || Pokemon - Jungle Unlimited - Non-Holo - Singles || Pokemon Card TCG - Jungle - Common & Uncommon - Pick your Card! || Oddish 58/64 Pokemon TCG WOTC Jungle Common Moderate Play MP || Pokemon - Jungle WOTC Singles - Choose Your Card || 1999 Pokemon Jungle 1st Edition Oddish #58/64",0.73 | 0.99 | 0.99 | 0.99 | 1.34 | 1.34 | 1.35 | 1.49 | 1.69 | 1.75
B01-C046,cards/binder_1/card_46_front.jpg,cards/binder_1/card_46_back.jpg,59/64,Paras,Jungle,Common,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,single_or_1st_ed_group,NO,vision_full_card_api_validated,0.8134,B01-C032,output/first_edition_review_crops_clean/B01-C046__Jungle__59_64__Paras.jpg,1st Edition,Pokemon Paras 59/64 Jungle 1st Edition MP,0.73,1.01,1.25,1.49,10 cleaned raw sold comps; removed comps under $0.50.,Pokemon Paras 59/64 Jungle 1st Edition LP/MP Vintage WOTC,"Paras 59/64 from Jungle.
Variant: 1st Edition.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.","Pokemon TCG  - Jungle 1st ed. (1999) Pick Your Card, Complete Your Set NM-HP || Pokemon Jungle First Edition #59/64 Paras Lightly played || 1999 - Pokemon TCG - Jungle Set - Pick Your WOTC Card (s) - 1st Ed & Unlimited || Jungle Set Loose Pokemon Cards - LP to MP Unlimited || Paras 59/64 Jungle 1st Edition Pokemon Card || Paras 59/64 Jungle Regular || Pokemon Paras 59/64 Common LP || Paras 59/64 Common Jungle Pokemon Lightly Played || Paras Common Jungle 59/64 DMG 1st Edition || Pokemon Tcg Paras [1st Edition] #59 Pokemon Jungle HP",0.73 | 0.99 | 0.99 | 0.99 | 1.00 | 1.00 | 1.00 | 1.05 | 1.10 | 1.25
B01-C032,cards/binder_1/card_32_front.jpg,cards/binder_1/card_32_back.jpg,48/64,Weepinbell,Jungle,Uncommon,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,single_or_1st_ed_group,NO,vision_full_card_api_validated,1.0000,B01-C032,output/first_edition_review_crops_clean/B01-C032__Jungle__48_64__Weepinbell.jpg,1st Edition,Pokemon Weepinbell 48/64 Jungle 1st Edition MP,0.73,1.26,1.74,1.49,10 cleaned raw sold comps; removed comps under $0.50.,Pokemon Weepinbell 48/64 Jungle 1st Edition LP/MP Vintage WOTC,"Weepinbell 48/64 from Jungle.
Variant: 1st Edition.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.","Pokemon TCG  - Jungle 1st ed. (1999) Pick Your Card, Complete Your Set NM-HP || 1999 - Pokemon TCG - Jungle Set - Pick Your WOTC Card (s) - 1st Ed & Unlimited || 1999 Pokemon Jungle Set - Choose Your Card - 1st Edition & Unlimited Available || 💥 Weepinbell 48/64 Jungle 1st Edition Stamp Non Holo Foil Pokemon 1999 Vintage || WEEPINBELL 1999 POKEMON JUNGLE 1ST EDITION #48/64 Q3478 || Weepinbell 48/64 Pokemon Jungle 2 || 1999 Pokemon Jungle 1st Edition #48/64 Weepinbell NM || Weepinbell 48/64 Pokemon Card TCG Jungle Unlimited Non Holo 1999 WOTC Near Mint || 4 x Weepinbell 48/64 - Pokemon Jungle || WEEPINBELL 48/64 UNCOMMON JUNGLE POKEMON UNLIMITED MP",0.73 | 0.99 | 0.99 | 1.25 | 1.25 | 1.26 | 1.29 | 1.49 | 1.58 | 1.74
B02-C076,cards/binder_2/card_76_front.jpg,cards/binder_2/card_76_back.jpg,53/75,Caterpie,Neo Discovery,Common,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,single_or_1st_ed_group,NO,vision_full_card_api_validated,0.5503,B01-C032,output/first_edition_review_crops_clean/B02-C076__Neo Discovery__53_75__Caterpie.jpg,1st Edition,Pokemon Caterpie 53/75 Neo Discovery 1st Edition MP,1.19,1.43,1.50,1.49,10 cleaned raw sold comps; removed comps under $0.50.,Pokemon Caterpie 53/75 Neo Discovery 1st Edition LP/MP Vintage WOTC,"Caterpie 53/75 from Neo Discovery.
Variant: 1st Edition.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.",Caterpie 53/75 Pokemon Common Neo Discovery Card LP || Pokemon - YUKA MORII Choose Your Card TCG Card [YM-English] || Caterpie 53/75 Common Neo Discovery Pokemon MP || Caterpie Common Neo Discovery 53/75 MP || Pokemon Card Neo Discovery Caterpie 53/75 Common || Yuka Morii Pokemon Cards! Rare Reverse Holo/Non Holo - Choose Your Card! || Caterpie 53/75 Pokemon Neo Discovery Unlimited Yuka Morii || Caterpie 53/75 Neo Discovery Regular Unlimited Common Card Pokemon TCG || Caterpie 53/75 Neo Discovery Regular - Lightly Played Pokémon Card || Caterpie 53/75 | Neo Discovery | Common | Pokemon D6,1.19 | 1.23 | 1.44 | 1.49 | 1.49 | 1.49 | 1.49 | 1.49 | 1.50 | 1.50
B01-C002,cards/binder_1/card_2_front.jpg,cards/binder_1/card_2_back.jpg,39/75,Houndour,Neo Discovery,Uncommon,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,single_or_1st_ed_group,NO,vision_full_card_api_validated,0.6068,B01-C057,output/first_edition_review_crops_clean/B01-C002__Neo Discovery__39_75__Houndour.jpg,1st Edition,Pokemon Houndour 39/75 Neo Discovery 1st Edition MP,1.00,1.91,2.69,1.91,10 cleaned raw sold comps; removed comps under $0.50.,Pokemon Houndour 39/75 Neo Discovery 1st Edition LP/MP Vintage WOTC,"Houndour 39/75 from Neo Discovery.
Variant: 1st Edition.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.",2001 Pokemon #39/75 Houndour (Neo Discovery) LP || 2001 Pokemon #39/75 Houndour (Neo Discovery) LP || 2001 Pokemon #39/75 Houndour (Neo Discovery) NM || HOUNDOUR POKEMON NEO DISCOVERY 39/75 UNCOMMON MP UNLIMITED || Houndour 39/75 Unlimited: Neo Discovery Pokemon TCG Light Play || POKEMON NEO DISCOVERY HOUNDOUR 39/75 UNCOMMON UNLIMITED NM -j || Pokemon Neo Discovery Set - Choose Your Card! All Pokemon Available! || Houndour 39/75 Neo Discovery Pokemon Card || Houndour 39/75 Uncommon Neo Discovery Pokemon Unlimited Near Mint || Pokemon Card - Pupitar Neo Discovery 1st Edition 45/75 Uncommon,1.00 | 1.25 | 1.50 | 1.99 | 1.99 | 1.99 | 1.99 | 2.25 | 2.49 | 2.69
B02-C224,cards/binder_2/card_224_front.jpg,cards/binder_2/card_224_back.jpg,46/75,Scyther,Neo Discovery,Uncommon,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,single_or_1st_ed_group,NO,vision_full_card_api_validated,0.5247,B01-C032,output/first_edition_review_crops_clean/B02-C224__Neo Discovery__46_75__Scyther.jpg,1st Edition,Pokemon Scyther 46/75 Neo Discovery 1st Edition MP,0.99,1.07,1.25,1.49,9 cleaned raw sold comps; removed comps under $0.50.,Pokemon Scyther 46/75 Neo Discovery 1st Edition LP/MP Vintage WOTC,"Scyther 46/75 from Neo Discovery.
Variant: 1st Edition.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.","Neo Discovery #46/75 Scyther || Neo Discovery #46/75 Scyther || Pokemon Neo Discovery #46/75 Scyther NM || Pokémon 2001 Neo Discovery NM/M Choose Your Cards! || Unlimited Ed - 1995-2001 Vintage Pokemon Neo Discovery /75 ($2+ Order Required) || Neo Discovery, Pokemon Cards, Pokemon TCG || 2000 Pokemon Neo Discovery Set: Choose Your Card! || Scyther - Neo Discovery Unlimited 46/75 - Pokemon TCG (Vintage WoTC) - LP || 💥 Scyther 46/75 Pokemon Neo Discovery Unlimited Non Holo Vintage || Pokemon TCG Neo Discovery Set ""Pick Your Card"" Non Holo Vintage 2001 LP/NM",0.01 | 0.99 | 0.99 | 0.99 | 0.99 | 0.99 | 0.99 | 1.15 | 1.25 | 1.25
B02-C013,cards/binder_2/card_13_front.jpg,cards/binder_2/card_13_back.jpg,17/102,Beedrill,Base,Rare,LP/MP,MP,base_shadowless_confirmed,NO,YES,NO,NO,HIGH,Manually confirmed Base Shadowless: no right-side artwork shadow.,,,single,NO,fixed_from_saved_vision_or_visual_confirmation,0.2551,B01-C032,output/first_edition_review_crops_clean/B02-C013__Base__17_102__Beedrill.jpg,Shadowless,Pokemon Beedrill 17/102 Base Shadowless MP,9.18,16.63,18.54,16.63,10 cleaned raw sold comps; removed comps under $0.50.,Pokemon Beedrill 17/102 Base Shadowless LP/MP Vintage WOTC,"Beedrill 17/102 from Base.
Variant: Shadowless.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.",BEEDRILL - 17/102 - BASE SET UNLIMITED - - HP || Pokémon TCG - Beedrill 17/102 - Rare Unlimited - Base Set Unlimited LP || Pokémon Beedrill 017/102 Base Set Regular MP || 1999 Pokemon Base Set: Choose Your Card! All Cards Available - 100% Authentic || Beedrill - 17/102 - Pokemon Base Set Unlimited Rare Card || TCG POKEMON BEEDRILL BASE SET 17/102 || ✰ BEEDRILL 17/102 RARE BASE SET UNLIMITED POKEMON ✰ HP || Pokémon TCG - Beedrill 17/102 - Rare Unlimited - Base Set Unlimited [Light Play] || Beedrill 17/102 - Base Set (MP) || Beedrill 17/102 R Base Set Unlimited MP,9.18 | 13.81 | 14.83 | 18.07 | 18.07 | 18.44 | 18.44 | 18.44 | 18.44 | 18.54
B01-C194,cards/binder_1/card_194_front.jpg,cards/binder_1/card_194_back.jpg,20/102,Electabuzz,Base,Rare,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,bulk_or_lot,NO,vision_full_card_api_validated,-0.3195,B01-C032,output/first_edition_review_crops_clean/B01-C194__Base__20_102__Electabuzz.jpg,Unlimited,Pokemon Electabuzz 20/102 Base MP,1.25,2.10,2.99,2.10,10 cleaned raw sold comps; removed graded/lots/foreign/under-$0.50 comps.,Pokemon Electabuzz 20/102 Base LP/MP Vintage WOTC,"Electabuzz 20/102 from Base.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.",Pokemon TCG Base Set 2 #024/130 Electabuzz MP || Pokemon TCG Base Set Pokémon Trading Card Singles Wizards of The Coast || Pokemon VINTAGE WoTC Base Set - Choose Your Card - Free Shipping! NM/LP || 1999 Pokemon Base Set: Choose Your Card! All Cards Available - 100% Authentic || Pokemon 2000 Electabuzz Rare Base Set 2 BS2 024/130 MP/HP || Electabuzz Rare Base Set 020/102 MP/LP- || Electabuzz Rare Base Set 020/102 HP Pokémon TCG || Electabuzz 20/102 Rare Base Set Unlimited Pokemon Heavily Played || Electabuzz 20/102 Rare Base Set Unlimited Pokemon 1999 || Pokémon Electabuzz Base Set Rare 20/102 70 HP Wizards 1999 English Card,1.25 | 1.49 | 1.65 | 1.95 | 2.00 | 2.25 | 2.39 | 2.49 | 2.54 | 2.99
B01-C208,cards/binder_1/card_208_front.jpg,cards/binder_1/card_208_back.jpg,73/102,Impostor Professor Oak,Base,Rare,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,bulk_or_lot,NO,fixed_by_card_number_api,0.2389,B01-C032,output/first_edition_review_crops_clean/B01-C208__Base__73_102__Impostor Professor Oak.jpg,Unlimited,Pokemon Impostor Professor Oak 73/102 Base MP,0.73,1.50,1.95,1.50,10 cleaned raw sold comps; removed graded/lots/foreign/under-$0.50 comps.,Pokemon Impostor Professor Oak 73/102 Base LP/MP Vintage WOTC,"Impostor Professor Oak 73/102 from Base.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.",Complete Your Set - SHADOWLESS Pokemon Base Set Cards WOTC 1999 - Pick || Imposter Professor Oak 73/102 - Classic Celebrations Holo Pokemon Card || Pokemon TCG Base Set Pokémon Trading Card Singles Wizards of The Coast || Imposter Professor Oak 73/102 - Classic Celebrations Holo Pokemon Card || IMPOSTER PROFESSOR OAK - 102/130 - BASE SET 2 - - LP || Pokémon Imposter Professor Oak 73/102 Celebrations Holo Trainer Card || x1 Imposter Professor Oak - 73/102 - Classic Holo Rare Pokemon Celebrations M/NM || PROFESSOR OAK 88/102 UNCOMMON BASE SET UNLIMITED POKEMON MP || Imposter Professor Oak 73/102 - Classic Celebrations Holo Pokemon Card || Pokémon Tcg Imposter Professor Oak 73/102 Base Set Non Holo HP,0.73 | 1.00 | 1.49 | 1.49 | 1.50 | 1.62 | 1.70 | 1.74 | 1.79 | 1.95
B02-C084,cards/binder_2/card_84_front.jpg,cards/binder_2/card_84_back.jpg,25/62,Lapras,Fossil,Rare,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk_or_lot,NO,vision_full_card_api_validated,0.3253,B01-C057,output/first_edition_review_crops_clean/B02-C084__Fossil__25_62__Lapras.jpg,Unlimited,Pokemon Lapras 25/62 Fossil MP,0.99,2.01,3.00,2.01,10 cleaned raw sold comps; removed graded/lots/foreign/under-$0.50 comps.,Pokemon Lapras 25/62 Fossil LP/MP Vintage WOTC,"Lapras 25/62 from Fossil.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.",POKEMON FOSSIL LAPRAS 25/62 RARE NON HOLO LP || Complete Your Set - Fossil Unlimited Pokemon Cards 1999 WOTC - Pick || Lapras 25/62 Fossil Unlimited NON HOLO LP WOTC 1999 Pokemon || POkemon - Fossil - Single cards - WOTC - 1999 - NM/LP/MP ** CHOOSE YOUR CARDS ** || Pokémon Fossil Set - Choose Your Card! Vintage Wizards of the Coast Holo LP/NM || Pokemon TCG Lapras 25/62 Fossil Regular Non Holo MP/DMG || Pokémon Fossil Unlimited - Choose Your Card 1999 - LP/NM Wizards of The Coast || *1ST EDITION* Pokemon Fossil Set CHOOSE YOUR CARD 1999 Vintage WoTC Cards NM/LP || Lapras 25/62 Unlimited Fossil MP || Pokemon Fossil Set 1st Edition - Choose Your Card! 1999 Vintage WoTC -  NM/LP,0.99 | 1.10 | 1.25 | 1.57 | 1.99 | 2.25 | 2.45 | 2.49 | 2.99 | 3.00
B01-C140,cards/binder_1/card_140_front.jpg,cards/binder_1/card_140_back.jpg,19/102,Dugtrio,HS—Triumphant,Rare,LP/MP,MP,unlimited_or_normal,NO,NOT_APPLICABLE,YES,NO,MEDIUM,No special 1st Edition/Shadowless variant expected.,,,bulk_or_lot,NO,vision_full_card_api_validated,,,,Unlimited,Pokemon Dugtrio 19/102 HS—Triumphant MP,0.85,1.32,1.92,1.32,10 cleaned raw sold comps; removed graded/lots/foreign/under-$0.50 comps.,Pokemon Dugtrio 19/102 HS—Triumphant LP/MP Vintage WOTC,"Dugtrio 19/102 from HS—Triumphant.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.",1999 Pokemon Base Set: Choose Your Card! All Cards Available- FREE SHIPPING || Carta Pokemon DUGTRIO 19/102 Set Base Rara ITA 70PV 1999 Talpa Chamfer 1 Card || Carta Pokemon DUGTRIO 19/102 Set Base Rara ITA 70PV 1999 Talpa Chamfer 1 Card || DUGTRIO 1999 POKEMON BASE SET 19/102 RARE HOLO STAGE 1 FIGHTING Q3478 A || Pokemon base set cards at bargain prices for quantity purchases pick your card || Pokemon TCG Base Set Pokémon Trading Card Singles Wizards of The Coast || 1999 Pokemon Base Set - Authentic Cards - FREE SHIPPING || 1999 Pokemon Base Set: Choose Your Card! All Cards Available - 100% Authentic || Dugtrio 19/102 Rare Base Set Unlimited Pokemon MP || Pokémon TCG Dugtrio Base Set Unlimited Rare Card 19/102 Near Mint NM,0.85 | 1.00 | 1.00 | 1.07 | 1.15 | 1.27 | 1.61 | 1.67 | 1.70 | 1.92
B01-C123,cards/binder_1/card_123_front.jpg,cards/binder_1/card_123_back.jpg,24/64,Pidgeot,Jungle,Rare,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk_or_lot,NO,vision_full_card_api_validated,-0.0741,B01-C110,output/first_edition_review_crops_clean/B01-C123__Jungle__24_64__Pidgeot.jpg,Unlimited,Pokemon Pidgeot 24/64 Jungle MP,1.00,2.59,3.39,2.59,10 cleaned raw sold comps; removed graded/lots/foreign/under-$0.50 comps.,Pokemon Pidgeot 24/64 Jungle LP/MP Vintage WOTC,"Pidgeot 24/64 from Jungle.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.",Pidgeot Jungle 8/64 - Jungle - Holo Rare || 1999 Pokemon Jungle Set Unlimited Near Mint/LP VINTAGE -Pick Your Card! Free Shp || 1999 Pokemon Pidgeot Rare Jungle 24/64 Unlimited DMG || Pidgeot 24/64 Jungle Set Rare Regular 1999 WOTC Pokemon TCG MP || Pidgeot 24/64 - Jungle - Rare - Pokémon TCG || Pokemon TCG Jungle Pidgeot Rare 24/64 || Pidgeot (24) 24/64 Unlimited Rare Jungle || Pokemon TCG - Jungle - Pidgeot #24/64 || Pokemon TCG Pidgeot 24/64 Jungle Rare Non Holo WOTC Vintage 1999 MP || Pidgeot Jungle 24/64 Rare Unlimited Regular WOTC Vintage Pokemon Card,1.00 | 1.60 | 2.00 | 2.75 | 2.99 | 2.99 | 2.99 | 3.00 | 3.15 | 3.39
B02-C049,cards/binder_2/card_49_front.jpg,cards/binder_2/card_49_back.jpg,31/64,Vileplume,Jungle,Rare,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk_or_lot,NO,vision_full_card_api_validated,0.4205,B01-C057,output/first_edition_review_crops_clean/B02-C049__Jungle__31_64__Vileplume.jpg,Unlimited,Pokemon Vileplume 31/64 Jungle MP,0.73,1.46,2.25,1.46,10 cleaned raw sold comps; removed graded/lots/foreign/under-$0.50 comps.,Pokemon Vileplume 31/64 Jungle LP/MP Vintage WOTC,"Vileplume 31/64 from Jungle.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.","Pokemon TCG  - Jungle 1st ed. (1999) Pick Your Card, Complete Your Set NM-HP || Rare Vileplume Jungle Set Pokemon Card 31/64 TCG 1999 WOTC || Pokémon TCG Vileplume 15/64 Holo Rare Unlimited Card Jungle 1999 || Jungle Set Pokémon TCG -Pick Your Card- ##/64 Regular Unlimited Common/Uncommon || VILEPLUME 1999 POKEMON BASE JUNGLE RARE 31/64 Q2283 || Pokémon TCG Vileplume Jungle 31/64 Regular Unlimited Rare || Pokémon TCG Vileplume Jungle Card 31/64 Unlimited Rare Non-Holo - MP || Vileplume 31/64 Jungle Regular || Vileplume 31/64 Jungle Regular Rare || Pokémon TCG - Vileplume 31/64 - Jungle - RARE 1999",0.73 | 0.99 | 0.99 | 1.08 | 1.25 | 1.50 | 1.77 | 1.99 | 2.00 | 2.25
B02-C068,cards/binder_2/card_68_front.jpg,cards/binder_2/card_68_back.jpg,32/64,Wigglytuff,Jungle,Rare,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk_or_lot,NO,vision_full_card_api_validated,0.0380,B01-C110,output/first_edition_review_crops_clean/B02-C068__Jungle__32_64__Wigglytuff.jpg,Unlimited,Pokemon Wigglytuff 32/64 Jungle MP,0.73,1.91,2.99,1.91,10 cleaned raw sold comps; removed graded/lots/foreign/under-$0.50 comps.,Pokemon Wigglytuff 32/64 Jungle LP/MP Vintage WOTC,"Wigglytuff 32/64 from Jungle.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.","Complete Your Set - Jungle Unlimited Pokemon Cards WOTC 1999 - Pick || Pokemon TCG  - Jungle 1st ed. (1999) Pick Your Card, Complete Your Set NM-HP || Vintage Pokémon Cards WOTC - Base / Jungle / Fossil – Choose Your Card – LP/MP || CHOOSE YOUR OWN! Pokemon Base Set Jungle Single Cards (LP) || Pokémon Wigglytuff 32/64 Jungle MP || Pokémon TCG Wigglytuff Jungle 32/64 Unlimited Non-Holo Rare Vintage LP/MP || Wigglytuff Jungle 32/64 Non Holo Rare Unlimited WotC Pokemon Card MP || Wigglytuff 32/64 Rare Jungle Pokemon Unlimited MP || Pokemon TCG 1999 Jungle Unlimited Non Holo Rare Wigglytuff (32/64) - LP/MP || Wigglytuff (32) Unlimited Rare Pokemon Jungle 32/64 MP",0.73 | 0.73 | 0.99 | 0.99 | 2.00 | 2.25 | 2.50 | 2.93 | 2.95 | 2.99
B01-C101,cards/binder_1/card_101_front.jpg,cards/binder_1/card_101_back.jpg,23/82,Dark Dugtrio,Team Rocket,Rare,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk_or_lot,NO,fixed_by_card_number_api,0.1461,B01-C032,output/first_edition_review_crops_clean/B01-C101__Team Rocket__23_82__Dark Dugtrio.jpg,Unlimited,Pokemon Dark Dugtrio 23/82 Team Rocket MP,0.99,2.50,3.75,2.50,10 cleaned raw sold comps; removed graded/lots/foreign/under-$0.50 comps.,Pokemon Dark Dugtrio 23/82 Team Rocket LP/MP Vintage WOTC,"Dark Dugtrio 23/82 from Team Rocket.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.",Pokemon WOTC Team Rocket Pick your card! Near Mint - MP || Pokémon TCG Dark Dugtrio Team Rocket 23/82 Regular Unlimited Rare MP || Pokémon Dark Dugtrio Team Rocket Rare Wizards 23/82 Unlimited English 2000 50 HP || Team Rocket #23/82 Dark Dugtrio (23) || 2000 Pokemon Team Rocket Dark Dugtrio #23/82 || Dark Dugtrio 23/82 Non Holo Rare Team Rocket Pokémon Card || Dark Dugtrio 23/82 Non Holo Rare Team Rocket Pokémon Card || 2000 Pokemon Team Rocket Dark Dugtrio #23/82 || DARK DUGTRIO 23/82 VINTAGE RARE TEAM ROCKET POKEMON HP || Pokémon Dark Dugtrio Non Holo Rare Team Rocket 23/82 LP,0.99 | 1.34 | 1.90 | 2.00 | 2.25 | 2.99 | 2.99 | 3.25 | 3.49 | 3.75
B01-C210,cards/binder_1/card_210_front.jpg,cards/binder_1/card_210_back.jpg,72/82,Rocket's Sneak Attack,Team Rocket,Rare,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk_or_lot,NO,fixed_by_card_number_api,0.3323,B01-C032,output/first_edition_review_crops_clean/B01-C210__Team Rocket__72_82__Rocket_s Sneak Attack.jpg,Unlimited,Pokemon Rocket's Sneak Attack 72/82 Team Rocket MP,2.25,4.30,5.49,4.30,10 cleaned raw sold comps; removed graded/lots/foreign/under-$0.50 comps.,Pokemon Rocket's Sneak Attack 72/82 Team Rocket LP/MP Vintage WOTC,"Rocket's Sneak Attack 72/82 from Team Rocket.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded. Ships protected.",2000 Pokemon Team Rocket First Edition Rocket's Sneak Attack #72/82 Lp To Mp || Pokémon TCG Rocket's Sneak Attack 72/82 Team Rocket Non Holo Rare (English) - MP || Rocket's Sneak Attack 72/82 R Team Rocket DMG || Rocket's Sneak Attack - 72/82 - Rare -  MP -  POKEMON - FREE SHIPPING !!! || Rocket's Sneak Attack (72) Unlimited Rare Pokemon Team Rocket 72/82 MP || Pokémon Rocket's Sneak Attack 72/82 Team Rocket Unlimited Rare English - HP || Rocket's Sneak Attack (72) Unlimited Rare Team Rocket 72/82 HP/D || Pokémon Rocket's Sneak Attack 72/82 Team Rocket Unlimited Rare English - HP || Rocket's Sneak Attack 72 Team Rocket Pokemon PTCG rare || Pokémon Rocket's Sneak Attack 72/82 Team Rocket Unlimited Rare English - HP,2.25 | 2.25 | 3.00 | 4.77 | 4.99 | 4.99 | 4.99 | 5.00 | 5.29 | 5.49
