sku,front_image,back_image,card_number,name,set_name,rarity,condition_display,condition_assumption,variant_status,variant_1st_edition,variant_shadowless,variant_unlimited,variant_promo,variant_confidence,variant_note,lp_reference_price,ebay_price,listing_bucket,needs_review,method,first_edition_auto_score,first_edition_auto_template,first_edition_auto_crop,pricing_variant,pricing_search_query,tcgplayer_market_price,tcg_reference_note,ebay_sold_low,ebay_sold_mid,ebay_sold_high,chosen_price,pricing_notes,listing_title,listing_description,comp_titles,comp_prices
B01-C011,cards/binder_1/card_11_front.jpg,cards/binder_1/card_11_back.jpg,54/102,Metapod,Base,Common,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,bulk,NO,vision_full_card_api_validated,0.3320,B01-C032,output/first_edition_review_crops_clean/B01-C011__Base__54_102__Metapod.jpg,Unlimited,Pokemon Metapod 54/102 Base Unlimited MP,0.90,TCGPLAYER_MARKET,,,,0.63,TCG_API_REFERENCE_ESTIMATE_70_PERCENT_FOR_LP_MP,Pokemon Metapod 54/102 Base LP/MP,"Metapod 54/102 from Base.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C012,cards/binder_1/card_12_front.jpg,cards/binder_1/card_12_back.jpg,34/62,Golbat,Fossil,Uncommon,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk,NO,vision_full_card_api_validated,0.2241,B01-C032,output/first_edition_review_crops_clean/B01-C012__Fossil__34_62__Golbat.jpg,Unlimited,Pokemon Golbat 34/62 Fossil Unlimited MP,,NO_TCG_PRICE,,,,,NO_TCG_PRICE,Pokemon Golbat 34/62 Fossil LP/MP,"Golbat 34/62 from Fossil.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C013,cards/binder_1/card_13_front.jpg,cards/binder_1/card_13_back.jpg,69/102,Weedle,Base,Common,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,bulk,NO,vision_full_card_api_validated,0.3293,B01-C032,output/first_edition_review_crops_clean/B01-C013__Base__69_102__Weedle.jpg,Unlimited,Pokemon Weedle 69/102 Base Unlimited MP,0.57,TCGPLAYER_MARKET,,,,0.40,TCG_API_REFERENCE_ESTIMATE_70_PERCENT_FOR_LP_MP,Pokemon Weedle 69/102 Base LP/MP,"Weedle 69/102 from Base.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C014,cards/binder_1/card_14_front.jpg,cards/binder_1/card_14_back.jpg,48/62,Grimer,Fossil,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk,NO,vision_full_card_api_validated,0.3098,B01-C032,output/first_edition_review_crops_clean/B01-C014__Fossil__48_62__Grimer.jpg,Unlimited,Pokemon Grimer 48/62 Fossil Unlimited MP,,NO_TCG_PRICE,,,,,NO_TCG_PRICE,Pokemon Grimer 48/62 Fossil LP/MP,"Grimer 48/62 from Fossil.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C015,cards/binder_1/card_15_front.jpg,cards/binder_1/card_15_back.jpg,58/64,Oddish,Jungle,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk,NO,vision_full_card_api_validated,0.2842,B01-C032,output/first_edition_review_crops_clean/B01-C015__Jungle__58_64__Oddish.jpg,Unlimited,Pokemon Oddish 58/64 Jungle Unlimited MP,,NO_TCG_PRICE,,,,,NO_TCG_PRICE,Pokemon Oddish 58/64 Jungle LP/MP,"Oddish 58/64 from Jungle.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C016,cards/binder_1/card_16_front.jpg,cards/binder_1/card_16_back.jpg,41/64,Parasect,Jungle,Uncommon,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk,NO,vision_full_card_api_validated,0.3112,B01-C057,output/first_edition_review_crops_clean/B01-C016__Jungle__41_64__Parasect.jpg,Unlimited,Pokemon Parasect 41/64 Jungle Unlimited MP,,NO_TCG_PRICE,,,,,NO_TCG_PRICE,Pokemon Parasect 41/64 Jungle LP/MP,"Parasect 41/64 from Jungle.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C017,cards/binder_1/card_17_front.jpg,cards/binder_1/card_17_back.jpg,48/64,Weepinbell,Jungle,Uncommon,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk,NO,vision_full_card_api_validated,0.2642,B01-C110,output/first_edition_review_crops_clean/B01-C017__Jungle__48_64__Weepinbell.jpg,Unlimited,Pokemon Weepinbell 48/64 Jungle Unlimited MP,,NO_TCG_PRICE,,,,,NO_TCG_PRICE,Pokemon Weepinbell 48/64 Jungle LP/MP,"Weepinbell 48/64 from Jungle.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C018,cards/binder_1/card_18_front.jpg,cards/binder_1/card_18_back.jpg,31/62,Arbok,Fossil,Uncommon,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk,NO,vision_full_card_api_validated,0.3286,B01-C032,output/first_edition_review_crops_clean/B01-C018__Fossil__31_62__Arbok.jpg,Unlimited,Pokemon Arbok 31/62 Fossil Unlimited MP,,NO_TCG_PRICE,,,,,NO_TCG_PRICE,Pokemon Arbok 31/62 Fossil LP/MP,"Arbok 31/62 from Fossil.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C019,cards/binder_1/card_19_front.jpg,cards/binder_1/card_19_back.jpg,45/102,Caterpie,Base,Common,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,bulk,NO,vision_full_card_api_validated,0.3931,B01-C057,output/first_edition_review_crops_clean/B01-C019__Base__45_102__Caterpie.jpg,Unlimited,Pokemon Caterpie 45/102 Base Unlimited MP,1.05,TCGPLAYER_MARKET,,,,0.73,TCG_API_REFERENCE_ESTIMATE_70_PERCENT_FOR_LP_MP,Pokemon Caterpie 45/102 Base LP/MP,"Caterpie 45/102 from Base.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C020,cards/binder_1/card_20_front.jpg,cards/binder_1/card_20_back.jpg,56/64,Meowth,Jungle,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk,NO,vision_full_card_api_validated,-0.1712,B01-C032,output/first_edition_review_crops_clean/B01-C020__Jungle__56_64__Meowth.jpg,Unlimited,Pokemon Meowth 56/64 Jungle Unlimited MP,,NO_TCG_PRICE,,,,,NO_TCG_PRICE,Pokemon Meowth 56/64 Jungle LP/MP,"Meowth 56/64 from Jungle.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C021,cards/binder_1/card_21_front.jpg,cards/binder_1/card_21_back.jpg,50/64,Cubone,Jungle,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk,NO,vision_full_card_api_validated,0.2631,B01-C057,output/first_edition_review_crops_clean/B01-C021__Jungle__50_64__Cubone.jpg,Unlimited,Pokemon Cubone 50/64 Jungle Unlimited MP,,NO_TCG_PRICE,,,,,NO_TCG_PRICE,Pokemon Cubone 50/64 Jungle LP/MP,"Cubone 50/64 from Jungle.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C022,cards/binder_1/card_22_front.jpg,cards/binder_1/card_22_back.jpg,32/62,Cloyster,Fossil,Uncommon,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk,NO,vision_full_card_api_validated,0.3689,B01-C057,output/first_edition_review_crops_clean/B01-C022__Fossil__32_62__Cloyster.jpg,Unlimited,Pokemon Cloyster 32/62 Fossil Unlimited MP,,NO_TCG_PRICE,,,,,NO_TCG_PRICE,Pokemon Cloyster 32/62 Fossil LP/MP,"Cloyster 32/62 from Fossil.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C023,cards/binder_1/card_23_front.jpg,cards/binder_1/card_23_back.jpg,52/64,Exeggcute,Jungle,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk,NO,vision_full_card_api_validated,0.3338,B01-C057,output/first_edition_review_crops_clean/B01-C023__Jungle__52_64__Exeggcute.jpg,Unlimited,Pokemon Exeggcute 52/64 Jungle Unlimited MP,,NO_TCG_PRICE,,,,,NO_TCG_PRICE,Pokemon Exeggcute 52/64 Jungle LP/MP,"Exeggcute 52/64 from Jungle.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C024,cards/binder_1/card_24_front.jpg,cards/binder_1/card_24_back.jpg,37/64,Gloom,Jungle,Uncommon,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk,NO,vision_full_card_api_validated,0.3104,B01-C110,output/first_edition_review_crops_clean/B01-C024__Jungle__37_64__Gloom.jpg,Unlimited,Pokemon Gloom 37/64 Jungle Unlimited MP,,NO_TCG_PRICE,,,,,NO_TCG_PRICE,Pokemon Gloom 37/64 Jungle LP/MP,"Gloom 37/64 from Jungle.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C025,cards/binder_1/card_25_front.jpg,cards/binder_1/card_25_back.jpg,53/62,Psyduck,Fossil,Common,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,single_or_1st_ed_group,NO,vision_full_card_api_validated,0.6591,B01-C032,output/first_edition_review_crops_clean/B01-C025__Fossil__53_62__Psyduck.jpg,1st Edition,Pokemon Psyduck 53/62 Fossil 1st Edition MP,,,0.73,1.61,2.56,1.61,APIFY_SOLD_COMPS_PRIORITY_CARD,Pokemon Psyduck 53/62 Fossil 1st Edition LP/MP,"Psyduck 53/62 from Fossil.
Variant: 1st Edition.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",Pokemon TCG - Vintage WOTC - Fossil 1st Edition - Pick Your Card Singles: NM-MP || Psyduck Unlimited Common Fossil 53/62 LP || Psyduck 53/62 Fossil Regular || Pokemon Psyduck (53/65) Fossil MP || Psyduck 53/62 Pokemon Common Fossil Card LP || Psyduck Common Fossil 53/62 DMG || Pokemon Psyduck 53/62 Fossil Set (1999) - NM || Psyduck - 53/62 - Common - Unlimited Edition Heavily Played Fossil || Psyduck - 53/62 - Common - 1st Edition - Fossil #53 Pokemon TCG EN || Psyduck Common Fossil 53/62 MP,0.73 | 0.73 | 0.95 | 0.99 | 1.49 | 1.69 | 2.20 | 2.26 | 2.50 | 2.56
B01-C026,cards/binder_1/card_26_front.jpg,cards/binder_1/card_26_back.jpg,49/62,Horsea,Fossil,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk,NO,vision_full_card_api_validated,0.2405,B01-C057,output/first_edition_review_crops_clean/B01-C026__Fossil__49_62__Horsea.jpg,Unlimited,Pokemon Horsea 49/62 Fossil Unlimited MP,,NO_TCG_PRICE,,,,,NO_TCG_PRICE,Pokemon Horsea 49/62 Fossil LP/MP,"Horsea 49/62 from Fossil.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C027,cards/binder_1/card_27_front.jpg,cards/binder_1/card_27_back.jpg,29/102,Haunter,Base,Uncommon,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,bulk,NO,vision_full_card_api_validated,0.2475,B01-C057,output/first_edition_review_crops_clean/B01-C027__Base__29_102__Haunter.jpg,Unlimited,Pokemon Haunter 29/102 Base Unlimited MP,1.69,TCGPLAYER_MARKET,,,,1.18,TCG_API_REFERENCE_ESTIMATE_70_PERCENT_FOR_LP_MP,Pokemon Haunter 29/102 Base LP/MP,"Haunter 29/102 from Base.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C028,cards/binder_1/card_28_front.jpg,cards/binder_1/card_28_back.jpg,31/102,Jynx,Base,Uncommon,LP/MP,MP,base_unlimited_confirmed,NO,NO,YES,NO,HIGH,Base Unlimited confirmed; no Shadowless marker found.,,,bulk,NO,vision_full_card_api_validated,0.3224,B01-C032,output/first_edition_review_crops_clean/B01-C028__Base__31_102__Jynx.jpg,Unlimited,Pokemon Jynx 31/102 Base Unlimited MP,0.99,TCGPLAYER_MARKET,,,,0.69,TCG_API_REFERENCE_ESTIMATE_70_PERCENT_FOR_LP_MP,Pokemon Jynx 31/102 Base LP/MP,"Jynx 31/102 from Base.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C029,cards/binder_1/card_29_front.jpg,cards/binder_1/card_29_back.jpg,67/130,Bulbasaur,Base Set 2,Common,LP/MP,MP,unlimited_or_normal,NO,NOT_APPLICABLE,YES,NO,MEDIUM,No special 1st Edition/Shadowless variant expected.,,,small_lot_or_single,NO,vision_full_card_api_validated,,,,Unlimited,Pokemon Bulbasaur 67/130 Base Set 2 Unlimited MP,4.39,TCGPLAYER_MARKET,,,,3.07,TCG_API_REFERENCE_ESTIMATE_70_PERCENT_FOR_LP_MP,Pokemon Bulbasaur 67/130 Base Set 2 LP/MP,"Bulbasaur 67/130 from Base Set 2.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C030,cards/binder_1/card_30_front.jpg,cards/binder_1/card_30_back.jpg,35/62,Golduck,Fossil,Uncommon,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk,NO,vision_full_card_api_validated,0.2504,B01-C057,output/first_edition_review_crops_clean/B01-C030__Fossil__35_62__Golduck.jpg,Unlimited,Pokemon Golduck 35/62 Fossil Unlimited MP,,NO_TCG_PRICE,,,,,NO_TCG_PRICE,Pokemon Golduck 35/62 Fossil LP/MP,"Golduck 35/62 from Fossil.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C031,cards/binder_1/card_31_front.jpg,cards/binder_1/card_31_back.jpg,47/62,Geodude,Fossil,Common,LP/MP,MP,unlimited_confirmed,NO,NOT_APPLICABLE,YES,NO,HIGH,Manually checked; no 1st Edition stamp found. Treat as Unlimited.,,,bulk,NO,vision_full_card_api_validated,0.2576,B01-C032,output/first_edition_review_crops_clean/B01-C031__Fossil__47_62__Geodude.jpg,Unlimited,Pokemon Geodude 47/62 Fossil Unlimited MP,,NO_TCG_PRICE,,,,,NO_TCG_PRICE,Pokemon Geodude 47/62 Fossil LP/MP,"Geodude 47/62 from Fossil.
Variant: Unlimited.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.",,
B01-C032,cards/binder_1/card_32_front.jpg,cards/binder_1/card_32_back.jpg,48/64,Weepinbell,Jungle,Uncommon,LP/MP,MP,first_edition_confirmed,YES,NOT_APPLICABLE,NO,NO,HIGH,Confirmed from top-100 first-edition review PDF; first 16 rows only.,,,single_or_1st_ed_group,NO,vision_full_card_api_validated,1.0000,B01-C032,output/first_edition_review_crops_clean/B01-C032__Jungle__48_64__Weepinbell.jpg,1st Edition,Pokemon Weepinbell 48/64 Jungle 1st Edition MP,,,0.73,1.26,1.74,1.49,APIFY_SOLD_COMPS_PRIORITY_CARD,Pokemon Weepinbell 48/64 Jungle 1st Edition LP/MP,"Weepinbell 48/64 from Jungle.
Variant: 1st Edition.
Condition estimate: LP/MP. See front and back photos for exact condition.
Raw card, not graded.","Pokemon TCG  - Jungle 1st ed. (1999) Pick Your Card, Complete Your Set NM-HP || 1999 - Pokemon TCG - Jungle Set - Pick Your WOTC Card (s) - 1st Ed & Unlimited || 1999 Pokemon Jungle Set - Choose Your Card - 1st Edition & Unlimited Available || 💥 Weepinbell 48/64 Jungle 1st Edition Stamp Non Holo Foil Pokemon 1999 Vintage || WEEPINBELL 1999 POKEMON JUNGLE 1ST EDITION #48/64 Q3478 || Weepinbell 48/64 Pokemon Jungle 2 || 1999 Pokemon Jungle 1st Edition #48/64 Weepinbell NM || Weepinbell 48/64 Pokemon Card TCG Jungle Unlimited Non Holo 1999 WOTC Near Mint || 4 x Weepinbell 48/64 - Pokemon Jungle || WEEPINBELL 48/64 UNCOMMON JUNGLE POKEMON UNLIMITED MP",0.73 | 0.99 | 0.99 | 1.25 | 1.25 | 1.26 | 1.29 | 1.49 | 1.58 | 1.74
